title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
"Kisna Diamond & Gold Jewellery - Magneto Mall, Raipur",4.9,1121,"1st Floor, Magneto Mall, beside Signature Homes 2, Jivan Vihar, Labhandih",Raipur,Chhattisgarh,492001,IN,kisna.com,091654 00011,"[""Jewelry store""]",Jewelry store,"6MRM+9P Raipur, Chhattisgarh","https://www.google.com/maps/place/Kisna+Diamond+%26+Gold+Jewellery+-+Magneto+Mall,+Raipur/data=!4m7!3m6!1s0x3a28ddaaade63813:0x64dd9ee90e405518!8m2!3d21.2409901!4d81.684341!16s%2Fg%2F11x6ph3x1y!19sChIJEzjmrardKDoRGFVADume3WQ?authuser=0&hl=en&rclk=1","1st Floor, Magneto Mall, beside Signature Homes 2, Jivan Vihar, Labhandih, Raipur, Chhattisgarh 492001",0x3a28ddaaade63813:0x64dd9ee90e405518,Gold Jewellery
Punjab Jewellers | Trusted Jewellers | Best Jewellery Shop in Raipur | Best Gold Showroom in Raipur,4.7,287,"Halwai Ln, Gol Bazar, Bajinath Para",Raipur,Chhattisgarh,492001,IN,punjabjewellers.org,091741 98000,"[""Jewelry store""]",Jewelry store,"6JQP+Q6 Raipur, Chhattisgarh",https://www.google.com/maps/place/Punjab+Jewellers+%7C+Trusted+Jewellers+%7C+Best+Jewellery+Shop+in+Raipur+%7C+Best+Gold+Showroom+in+Raipur/data=!4m7!3m6!1s0x3a28dd503e25028b:0xd04192d1dbb0dbff!8m2!3d21.2394711!4d81.635544!16s%2Fg%2F1thvr342!19sChIJiwIlPlDdKDoR_9uw29GSQdA?authuser=0&hl=en&rclk=1,"Halwai Ln, Gol Bazar, Bajinath Para, Raipur, Chhattisgarh 492001",0x3a28dd503e25028b:0xd04192d1dbb0dbff,Gold Jewellery
Malabar Gold and Diamonds - Raipur,4.8,1169,"Atal highway, Twin Tower, Main Rd, Pandri",Raipur,Chhattisgarh,492004,IN,malabargoldanddiamonds.com,087146 02529,"[""Jewelry store""]",Jewelry store,"7J2X+WC Raipur, Chhattisgarh",https://www.google.com/maps/place/Malabar+Gold+and+Diamonds+-+Raipur/data=!4m7!3m6!1s0x3a28dd6a311fc043:0x5e509f2aee3ac260!8m2!3d21.2523423!4d81.6485878!16s%2Fg%2F11pv60042n!19sChIJQ8AfMWrdKDoRYMI67iqfUF4?authuser=0&hl=en&rclk=1,"Atal highway, Twin Tower, Main Rd, Pandri, Raipur, Chhattisgarh 492004",0x3a28dd6a311fc043:0x5e509f2aee3ac260,Gold Jewellery
SAHELI JEWELLERS PVT. LTD.,4.7,1733,Sadar Bazar,Raipur,Chhattisgarh,492001,IN,,095844 11144,"[""Jewelry store""]",Jewelry store,"6JQJ+8X Raipur, Chhattisgarh",https://www.google.com/maps/place/SAHELI+JEWELLERS+PVT.+LTD./data=!4m7!3m6!1s0x3a28ddff638eaefd:0xedbfe7fa689e1d8d!8m2!3d21.2383409!4d81.6324179!16s%2Fg%2F11jyjdfffy!19sChIJ_a6OY__dKDoRjR2eaPrnv-0?authuser=0&hl=en&rclk=1,"Sadar Bazar, Raipur, Chhattisgarh 492001",0x3a28ddff638eaefd:0xedbfe7fa689e1d8d,Gold Jewellery
Sun & Sun Jewellers,4.7,543,"6JQM+76J, Sadar Bazar",Raipur,Chhattisgarh,492001,IN,sunnsun.com,074899 66000,"[""Jewelry store""]",Jewelry store,,https://www.google.com/maps/place/Sun+%26+Sun+Jewellers/data=!4m7!3m6!1s0x3a28ddbb70000001:0x4fab4147a391bd9e!8m2!3d21.2382232!4d81.6330283!16s%2Fg%2F1vyxgv58!19sChIJAQAAcLvdKDoRnr2Ro0dBq08?authuser=0&hl=en&rclk=1,"6JQM+76J, Sadar Bazar, Raipur, Chhattisgarh 492001",0x3a28ddbb70000001:0x4fab4147a391bd9e,Gold Jewellery
Anopchand Tilokchand Jewellers - Flagship Store Sadar Bazar,4.7,1620,Sadar Bazar,Raipur,Chhattisgarh,492001,IN,atjewellers.in,088177 10111,"[""Jewelry store""]",Jewelry store,"6JQM+7C Raipur, Chhattisgarh",https://www.google.com/maps/place/Anopchand+Tilokchand+Jewellers+-+Flagship+Store+Sadar+Bazar/data=!4m7!3m6!1s0x3a28ddbb70000001:0x2ce88121ae38352f!8m2!3d21.2381715!4d81.6335122!16s%2Fg%2F1td63qw9!19sChIJAQAAcLvdKDoRLzU4riGB6Cw?authuser=0&hl=en&rclk=1,"Sadar Bazar, Raipur, Chhattisgarh 492001",0x3a28ddbb70000001:0x2ce88121ae38352f,Gold Jewellery
NAVKAR JEWELLERS - Best Jewellers Showroom in Raipur | Gold & Silver Jewellery | Gold Showroom in Raipur,4.6,96,"SHOP NO.297, Malviya Rd, Kotwali Chowk",Raipur,Chhattisgarh,492001,IN,wa.me,089827 10000,"[""Jewelry store""]",Jewelry store,"6JQP+8V Raipur, Chhattisgarh",https://www.google.com/maps/place/NAVKAR+JEWELLERS+-+Best+Jewellers+Showroom+in+Raipur+%7C+Gold+%26+Silver+Jewellery+%7C+Gold+Showroom+in+Raipur/data=!4m7!3m6!1s0x3a28dd235bc76137:0xbbea9fea0bcf130a!8m2!3d21.238252!4d81.6371313!16s%2Fg%2F11fk9wmktq!19sChIJN2HHWyPdKDoRChPPC-qf6rs?authuser=0&hl=en&rclk=1,"SHOP NO.297, Malviya Rd, Kotwali Chowk, Raipur, Chhattisgarh 492001",0x3a28dd235bc76137:0xbbea9fea0bcf130a,Gold Jewellery
"BlueStone Jewellery Pandri, Raipur",4.9,507,"Plot no-4/3, Jeevan Bima Marg, Main Rd, Pandri",Raipur,Chhattisgarh,492004,IN,bluestone.com,089768 78930,"[""Jewelry store""]",Jewelry store,"7J2X+X9 Raipur, Chhattisgarh","https://www.google.com/maps/place/BlueStone+Jewellery+Pandri,+Raipur/data=!4m7!3m6!1s0x3a28dd604064b3e5:0x92d23b6d861c1d9!8m2!3d21.2524102!4d81.6484553!16s%2Fg%2F11t0vrgw42!19sChIJ5bNkQGDdKDoR2cFh2LYjLQk?authuser=0&hl=en&rclk=1","Plot no-4/3,Jeevan Bima Marg, Main Rd, Pandri, Raipur, Chhattisgarh 492004",0x3a28dd604064b3e5:0x92d23b6d861c1d9,Gold Jewellery
Babulal Jewellers,4.9,420,"Chowk, Raj Bhawan Rd, next to Veggies, Moti Bagh, Civil Lines",Raipur,Chhattisgarh,492001,IN,babulaljewellers.com,077140 40119,"[""Jewelry store""]",Jewelry store,"6JVV+38 Raipur, Chhattisgarh",https://www.google.com/maps/place/Babulal+Jewellers/data=!4m7!3m6!1s0x3a28dd988e119549:0x1a3ad3b0532a5b52!8m2!3d21.2426562!4d81.6433342!16s%2Fg%2F11b7rn9j_m!19sChIJSZURjpjdKDoRUlsqU7DTOho?authuser=0&hl=en&rclk=1,"Chowk, Raj Bhawan Rd, next to Veggies, Moti Bagh, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd988e119549:0x1a3ad3b0532a5b52,Gold Jewellery
Tanishq Jewellery - Raipur - G E Road,4.8,4183,"No 11-12, Shaheed Smarak Complex, Great Eastern Rd, nearby Jaistambh Chowk, Bombay Market, Moudhapara",Raipur,Chhattisgarh,492001,IN,stores.tanishq.co.in,077140 98181,"[""Jewelry store""]",Jewelry store,"6JWQ+27 Raipur, Chhattisgarh",https://www.google.com/maps/place/Tanishq+Jewellery+-+Raipur+-+G+E+Road/data=!4m7!3m6!1s0x3a28dd9868b8794f:0x674f0e92976e96c4!8m2!3d21.2450727!4d81.638201!16s%2Fg%2F1xgrlc5l!19sChIJT3m4aJjdKDoRxJZul5IOT2c?authuser=0&hl=en&rclk=1,"No 11-12, Shaheed Smarak Complex, Great Eastern Rd, nearby Jaistambh Chowk, Bombay Market, Moudhapara, Raipur, Chhattisgarh 492001",0x3a28dd9868b8794f:0x674f0e92976e96c4,Gold Jewellery
