title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
Girnar Restaurant,4.1,4159,"6JVP+F3G, GE Road Opp Ravi Bhawan, Jaistambh Chowk, Moudhapara",Raipur,Chhattisgarh,492001,IN,,077125 34776,"[""Biryani restaurant""]",Biryani restaurant,,https://www.google.com/maps/place/Girnar+Restaurant/data=!4m7!3m6!1s0x3a28dd97e0294b2b:0xa60271f3535d0bff!8m2!3d21.2437391!4d81.6352159!16s%2Fg%2F1tdq8_fw!19sChIJK0sp4JfdKDoR_wtdU_NxAqY?authuser=0&hl=en&rclk=1,"6JVP+F3G, GE Road Opp Ravi Bhawan, Jaistambh Chowk, Moudhapara, Raipur, Chhattisgarh 492001",0x3a28dd97e0294b2b:0xa60271f3535d0bff,restaurants
KOYA Raipur,4.7,2090,"Kachna Rd, Saddu",Raipur,Chhattisgarh,492014,IN,,090390 79993,"[""Restaurant""]",Restaurant,"7MFW+FV Raipur, Chhattisgarh",https://www.google.com/maps/place/KOYA+Raipur/data=!4m7!3m6!1s0x3a28e9005f2734a5:0x600595a49824bc23!8m2!3d21.2737409!4d81.6972091!16s%2Fg%2F11y68dcf5k!19sChIJpTQnXwDpKDoRI7wkmKSVBWA?authuser=0&hl=en&rclk=1,"Kachna Rd, Saddu, Raipur, Chhattisgarh 492014",0x3a28e9005f2734a5:0x600595a49824bc23,restaurants
"Gadh Kalewa, Raipur",4.3,8275,"Gaurav Path, Civil Lines",Raipur,Chhattisgarh,492001,IN,gadhkalewa.in,097137 40888,"[""Indian restaurant""]",Indian restaurant,"6JVV+QX Raipur, Chhattisgarh","https://www.google.com/maps/place/Gadh+Kalewa,+Raipur/data=!4m7!3m6!1s0x3a28dd9f81fc174d:0xc2adc8b14e2a6e6!8m2!3d21.2444234!4d81.644926!16s%2Fg%2F11ckkydg7q!19sChIJTRf8gZ_dKDoR5qbiFIvcKgw?authuser=0&hl=en&rclk=1","Gaurav Path, Civil Lines, Raipur, Chhattisgarh 492001",0x3a28dd9f81fc174d:0xc2adc8b14e2a6e6,restaurants
Godwit Cafe | Best Cafes in Raipur | Best Jain food in Raipur | Pure Veg restaurant,4.4,2606,"In Front Hyatt, beside Magneto Mall, Jivan Vihar",Raipur,Chhattisgarh,492001,IN,godwitcafe.com,092946 10000,"[""Vegetarian restaurant""]",Vegetarian restaurant,"6MRM+3V Raipur, Chhattisgarh",https://www.google.com/maps/place/Godwit+Cafe+%7C+Best+Cafes+in+Raipur+%7C+Best+Jain+food+in+Raipur+%7C+Pure+Veg+restaurant/data=!4m7!3m6!1s0x3a28ddc4e4ed671b:0x917a8b3df184f41c!8m2!3d21.2401706!4d81.6846408!16s%2Fg%2F11h0ylk6wh!19sChIJG2ft5MTdKDoRHPSE8T2LepE?authuser=0&hl=en&rclk=1,"In Front Hyatt, beside Magneto Mall, Jivan Vihar, Raipur, Chhattisgarh 492001",0x3a28ddc4e4ed671b:0x917a8b3df184f41c,restaurants
KOPYKO Sunset Grill,4.4,1263,"VIP Rd, behind Hotel Grand Canyon, Fundahar",Raipur,Chhattisgarh,492001,IN,,082978 80000,"[""Restaurant""]",Restaurant,"6MGX+7X Raipur, Chhattisgarh",https://www.google.com/maps/place/KOPYKO+Sunset+Grill/data=!4m7!3m6!1s0x3a28c3b9ce6b8b5f:0x1e56f1e5609fe26a!8m2!3d21.2257123!4d81.6998807!16s%2Fg%2F11vf9hf0xp!19sChIJX4trzrnDKDoRauKfYOXxVh4?authuser=0&hl=en&rclk=1,"VIP Rd, behind Hotel Grand Canyon, Fundahar, Raipur, Chhattisgarh 492001",0x3a28c3b9ce6b8b5f:0x1e56f1e5609fe26a,restaurants
Pind Balluchi Restaurant & Bar,4.4,1382,"VIP Rd, near Soul Garden, Vishal Nagar",Raipur,Chhattisgarh,492001,IN,instagram.com,078800 81112,"[""Punjabi restaurant""]",Punjabi restaurant,"6MHJ+VP Raipur, Chhattisgarh",https://www.google.com/maps/place/Pind+Balluchi+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3a28c378040df43f:0x921954fc93adf125!8m2!3d21.2296375!4d81.6817831!16s%2Fg%2F11trhxgc74!19sChIJP_QNBHjDKDoRJfGtk_xUGZI?authuser=0&hl=en&rclk=1,"VIP Rd, near Soul Garden, Vishal Nagar, Raipur, Chhattisgarh 492001",0x3a28c378040df43f:0x921954fc93adf125,restaurants
Raipur Restaurant,4.4,1382,"VIP Rd, near Soul Garden, Vishal Nagar",Raipur,Chhattisgarh,492001,IN,instagram.com,078800 81112,"[""Punjabi restaurant""]",Punjabi restaurant,"6MHJ+VP Raipur, Chhattisgarh",https://www.google.com/maps/place/Raipur+Restaurant/data=!4m7!3m6!1s0x3a28de08ce6a7e03:0x5d063f1b94a765f5!8m2!3d21.2358719!4d81.6009189!16s%2Fg%2F11gf85nr53!19sChIJA35qzgjeKDoR9WWnlBs_Bl0?authuser=0&hl=en&rclk=1,"VIP Rd, near Soul Garden, Vishal Nagar, Raipur, Chhattisgarh 492001",0x3a28de08ce6a7e03:0x5d063f1b94a765f5,restaurants
"Gourmet Restaurant, Raipur",4.5,548,"C/o Hotel Celebration, Jail Road Shri Gurugovind S. Square",Raipur,Chhattisgarh,492001,IN,celebrationworld.in,077140 92992,"[""North Indian restaurant""]",North Indian restaurant,"7J4P+JR Raipur, Chhattisgarh","https://www.google.com/maps/place/Gourmet+Restaurant,+Raipur/data=!4m7!3m6!1s0x3a28dd855cc9764b:0x844dc392d644993e!8m2!3d21.256513!4d81.6370527!16s%2Fg%2F11byygbl0p!19sChIJS3bJXIXdKDoRPplE1pLDTYQ?authuser=0&hl=en&rclk=1","C/o Hotel Celebration, Jail Road Shri Gurugovind S. Square, Raipur, Chhattisgarh 492001",0x3a28dd855cc9764b:0x844dc392d644993e,restaurants
Manju Mamta Restaurant,4.5,548,"C/o Hotel Celebration, Jail Road Shri Gurugovind S. Square",Raipur,Chhattisgarh,492001,IN,celebrationworld.in,077140 92992,"[""North Indian restaurant""]",North Indian restaurant,"7J4P+JR Raipur, Chhattisgarh",https://www.google.com/maps/place/Manju+Mamta+Restaurant/data=!4m7!3m6!1s0x3a28dd97d3c53a21:0x5fadabe6d66f2173!8m2!3d21.2441368!4d81.6337039!16s%2Fg%2F11cjpx3278!19sChIJITrF05fdKDoRcyFv1uarrV8?authuser=0&hl=en&rclk=1,"C/o Hotel Celebration, Jail Road Shri Gurugovind S. Square, Raipur, Chhattisgarh 492001",0x3a28dd97d3c53a21:0x5fadabe6d66f2173,restaurants
"Sangria, Raipur",4.2,1205,"Sangria, A wing, 9th floor, Babylon Tower VIP Square, NH- 06",Raipur,Chhattisgarh,492001,IN,instagram.com,078800 33440,"[""Restaurant""]",Restaurant,"6MQH+RR Raipur, Chhattisgarh","https://www.google.com/maps/place/Sangria,+Raipur/data=!4m7!3m6!1s0x3a28ddaa2408ab91:0x1422d044e7d4c0a7!8m2!3d21.2396041!4d81.6795326!16s%2Fg%2F11tt28b718!19sChIJkasIJKrdKDoRp8DU50TQIhQ?authuser=0&hl=en&rclk=1","Sangria, A wing, 9th floor, Babylon Tower VIP Square, NH- 06, Raipur, Chhattisgarh 492001",0x3a28ddaa2408ab91:0x1422d044e7d4c0a7,restaurants
