title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,email,emails,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
"Kisna Diamond & Gold Jewellery - Magneto Mall, Raipur",4.9,1121,"1st Floor, Magneto Mall, beside Signature Homes 2, Jivan Vihar, Labhandih",Raipur,Chhattisgarh,492001,IN,https://kisna.com/?utm_source=gmb&utm_medium=organic&utm_campaign=magneto+mall+&utm_id=Google&utm_term=raipur,091654 00011,,[],"[""Jewelry store""]",Jewelry store,"6MRM+9P Raipur, Chhattisgarh","https://www.google.com/maps/place/Kisna+Diamond+%26+Gold+Jewellery+-+Magneto+Mall,+Raipur/data=!4m7!3m6!1s0x3a28ddaaade63813:0x64dd9ee90e405518!8m2!3d21.2409901!4d81.684341!16s%2Fg%2F11x6ph3x1y!19sChIJEzjmrardKDoRGFVADume3WQ?authuser=0&hl=en&rclk=1","1st Floor, Magneto Mall, beside Signature Homes 2, Jivan Vihar, Labhandih, Raipur, Chhattisgarh 492001",0x3a28ddaaade63813:0x64dd9ee90e405518,Gold Jewellery
Malabar Gold and Diamonds - Raipur,4.8,1169,"Atal highway, Twin Tower, Main Rd, Pandri",Raipur,Chhattisgarh,492004,IN,https://www.malabargoldanddiamonds.com/,087146 02529,,[],"[""Jewelry store""]",Jewelry store,"7J2X+WC Raipur, Chhattisgarh",https://www.google.com/maps/place/Malabar+Gold+and+Diamonds+-+Raipur/data=!4m7!3m6!1s0x3a28dd6a311fc043:0x5e509f2aee3ac260!8m2!3d21.2523423!4d81.6485878!16s%2Fg%2F11pv60042n!19sChIJQ8AfMWrdKDoRYMI67iqfUF4?authuser=0&hl=en&rclk=1,"Atal highway, Twin Tower, Main Rd, Pandri, Raipur, Chhattisgarh 492004",0x3a28dd6a311fc043:0x5e509f2aee3ac260,Gold Jewellery
Punjab Jewellers | Trusted Jewellers | Best Jewellery Shop in Raipur | Best Gold Showroom in Raipur,4.7,288,"Halwai Ln, Gol Bazar, Bajinath Para",Raipur,Chhattisgarh,492001,IN,https://punjabjewellers.org/,091741 98000,,[],"[""Jewelry store""]",Jewelry store,"6JQP+Q6 Raipur, Chhattisgarh",https://www.google.com/maps/place/Punjab+Jewellers+%7C+Trusted+Jewellers+%7C+Best+Jewellery+Shop+in+Raipur+%7C+Best+Gold+Showroom+in+Raipur/data=!4m7!3m6!1s0x3a28dd503e25028b:0xd04192d1dbb0dbff!8m2!3d21.2394711!4d81.635544!16s%2Fg%2F1thvr342!19sChIJiwIlPlDdKDoR_9uw29GSQdA?authuser=0&hl=en&rclk=1,"Halwai Ln, Gol Bazar, Bajinath Para, Raipur, Chhattisgarh 492001",0x3a28dd503e25028b:0xd04192d1dbb0dbff,Gold Jewellery
SAHELI JEWELLERS PVT. LTD.,4.7,1735,Sadar Bazar,Raipur,Chhattisgarh,492001,IN,,095844 11144,,[],"[""Jewelry store""]",Jewelry store,"6JQJ+8X Raipur, Chhattisgarh",https://www.google.com/maps/place/SAHELI+JEWELLERS+PVT.+LTD./data=!4m7!3m6!1s0x3a28ddff638eaefd:0xedbfe7fa689e1d8d!8m2!3d21.2383409!4d81.6324179!16s%2Fg%2F11jyjdfffy!19sChIJ_a6OY__dKDoRjR2eaPrnv-0?authuser=0&hl=en&rclk=1,"Sadar Bazar, Raipur, Chhattisgarh 492001",0x3a28ddff638eaefd:0xedbfe7fa689e1d8d,Gold Jewellery
Tanishq Jewellery - Raipur - Pandri,4.9,4285,"Pandri Rd, nearby Atal Path Expressway, Pandri",Raipur,Chhattisgarh,492004,IN,https://stores.tanishq.co.in/store-locator/jewellery-stores/chhattisgarh/raipur-pandri/RPP,077142 22333,,[],"[""Jewelry store""]",Jewelry store,"7J2X+R7 Raipur, Chhattisgarh",https://www.google.com/maps/place/Tanishq+Jewellery+-+Raipur+-+Pandri/data=!4m7!3m6!1s0x3a28ddb22009960f:0xcf120dbf66c7d84b!8m2!3d21.2520165!4d81.6481605!16s%2Fg%2F11lgsjhrmf!19sChIJD5YJILLdKDoRS9jHZr8NEs8?authuser=0&hl=en&rclk=1,"Pandri Rd, nearby Atal Path Expressway, Pandri, Raipur, Chhattisgarh 492004",0x3a28ddb22009960f:0xcf120dbf66c7d84b,Gold Jewellery
NAVKAR JEWELLERS - Best Jewellers Showroom in Raipur | Gold & Silver Jewellery | Gold Showroom in Raipur,4.6,96,"SHOP NO.297, Malviya Rd, Kotwali Chowk",Raipur,Chhattisgarh,492001,IN,https://wa.me/qr/EGTZWW5VZZL7M1,089827 10000,,[],"[""Jewelry store""]",Jewelry store,"6JQP+8V Raipur, Chhattisgarh",https://www.google.com/maps/place/NAVKAR+JEWELLERS+-+Best+Jewellers+Showroom+in+Raipur+%7C+Gold+%26+Silver+Jewellery+%7C+Gold+Showroom+in+Raipur/data=!4m7!3m6!1s0x3a28dd235bc76137:0xbbea9fea0bcf130a!8m2!3d21.238252!4d81.6371313!16s%2Fg%2F11fk9wmktq!19sChIJN2HHWyPdKDoRChPPC-qf6rs?authuser=0&hl=en&rclk=1,"SHOP NO.297, Malviya Rd, Kotwali Chowk, Raipur, Chhattisgarh 492001",0x3a28dd235bc76137:0xbbea9fea0bcf130a,Gold Jewellery
Anopchand Tilokchand Jewellers - Flagship Store Sadar Bazar,4.7,1620,Sadar Bazar,Raipur,Chhattisgarh,492001,IN,http://www.atjewellers.in/,088177 10111,,[],"[""Jewelry store""]",Jewelry store,"6JQM+7C Raipur, Chhattisgarh",https://www.google.com/maps/place/Anopchand+Tilokchand+Jewellers+-+Flagship+Store+Sadar+Bazar/data=!4m7!3m6!1s0x3a28ddbb70000001:0x2ce88121ae38352f!8m2!3d21.2381715!4d81.6335122!16s%2Fg%2F1td63qw9!19sChIJAQAAcLvdKDoRLzU4riGB6Cw?authuser=0&hl=en&rclk=1,"Sadar Bazar, Raipur, Chhattisgarh 492001",0x3a28ddbb70000001:0x2ce88121ae38352f,Gold Jewellery
Kalyan Jewellers - Raipur,4.1,801,"No 145/1 Jeevanbima Marg Main Road, near LIC, Pandri",Raipur,Chhattisgarh,492004,IN,https://store.kalyanjewellers.net/kalyan-jewellers-store-pandri-raipur/rpr/overview,1800 425 7333,,[],"[""Jewelry store""]",Jewelry store,"7J2X+WC Raipur, Chhattisgarh",https://www.google.com/maps/place/Kalyan+Jewellers+-+Raipur/data=!4m7!3m6!1s0x3a28dd055b01faf3:0x6fe9e39f3ad08810!8m2!3d21.2523257!4d81.6485764!16s%2Fg%2F11f75zj4df!19sChIJ8_oBWwXdKDoREIjQOp_j6W8?authuser=0&hl=en&rclk=1,"No 145/1 Jeevanbima Marg Main Road, near LIC, Pandri, Raipur, Chhattisgarh 492004",0x3a28dd055b01faf3:0x6fe9e39f3ad08810,Gold Jewellery
Sun & Sun Jewellers,4.1,801,"No 145/1 Jeevanbima Marg Main Road, near LIC, Pandri",Raipur,Chhattisgarh,492004,IN,https://store.kalyanjewellers.net/kalyan-jewellers-store-pandri-raipur/rpr/overview,1800 425 7333,,[],"[""Jewelry store""]",Jewelry store,"7J2X+WC Raipur, Chhattisgarh",https://www.google.com/maps/place/Sun+%26+Sun+Jewellers/data=!4m7!3m6!1s0x3a28ddbb70000001:0x4fab4147a391bd9e!8m2!3d21.2382232!4d81.6330283!16s%2Fg%2F1vyxgv58!19sChIJAQAAcLvdKDoRnr2Ro0dBq08?authuser=0&hl=en&rclk=1,"No 145/1 Jeevanbima Marg Main Road, near LIC, Pandri, Raipur, Chhattisgarh 492004",0x3a28ddbb70000001:0x4fab4147a391bd9e,Gold Jewellery
Tanishq Jewellery - Raipur - Rajendra Nagar,4.8,4507,"Ring Road No 1, Near Highway Inn, Civil Lines, New Rajendra Nagar",Raipur,Chhattisgarh,492001,IN,https://stores.tanishq.co.in/store-locator/jewellery-stores/chhattisgarh/raipur-rajendranagar/RPT,077728 12626,,[],"[""Jewelry store""]",Jewelry store,"6MH5+44 Raipur, Chhattisgarh",https://www.google.com/maps/place/Tanishq+Jewellery+-+Raipur+-+Rajendra+Nagar/data=!4m7!3m6!1s0x3a28dd04a5b99e8d:0xdc9d5ac0bb5a4330!8m2!3d21.2278206!4d81.6578146!16s%2Fg%2F11c6s0l9rh!19sChIJjZ65pQTdKDoRMENau8Bandw?authuser=0&hl=en&rclk=1,"Ring Road No 1, Near Highway Inn, Civil Lines, New Rajendra Nagar, Raipur, Chhattisgarh 492001",0x3a28dd04a5b99e8d:0xdc9d5ac0bb5a4330,Gold Jewellery
