title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,email,emails,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
Gorodetsky Law Group,4.0,27,1723 E 12th St,Brooklyn,NY,11229,US,http://www.gorodetsky-law.com/,+1 718-645-4604,glaw@gorodetsky-law.com,"[""glaw@gorodetsky-law.com"", ""springweal@aol.com"", ""user@domain.com""]","[""Divorce lawyer""]",Divorce lawyer,"J24Q+WP Brooklyn, New York, USA",https://www.google.com/maps/place/Gorodetsky+Law+Group/data=!4m7!3m6!1s0x89c244ecbf3b8729:0xb1262d164293ca8c!8m2!3d40.607358!4d-73.960664!16s%2Fg%2F11bwymyrt7!19sChIJKYc7v-xEwokRjMqTQhYtJrE?authuser=0&hl=en&rclk=1,"1723 E 12th St, Brooklyn, NY 11229, United States",0x89c244ecbf3b8729:0xb1262d164293ca8c,Law firms
Maria Mateo PC,4.8,206,125-10 Queens Blvd STE 320,Kew Gardens,NY,11415,US,https://mariamateolaw.com/,+1 718-268-0384,mariamateolaw@gmail.com,"[""mariamateolaw@gmail.com""]","[""Divorce lawyer""]",Divorce lawyer,"P56F+QF Kew Gardens, Queens, NY, USA",https://www.google.com/maps/place/Maria+Mateo+PC/data=!4m7!3m6!1s0x89c25e20d3ed9fef:0xca4fd058f294d90c!8m2!3d40.711914!4d-73.826364!16s%2Fg%2F1td2159q!19sChIJ75_t0yBewokRDNmU8ljQT8o?authuser=0&hl=en&rclk=1,"125-10 Queens Blvd STE 320, Kew Gardens, NY 11415, United States",0x89c25e20d3ed9fef:0xca4fd058f294d90c,Law firms
"The Law Offices of Michael S. Lamonsoff, PLLC",4.7,573,32 Old Slip,New York,NY,10005,US,https://www.msllegal.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-nyc,+1 212-962-1020,,[],"[""Personal injury attorney""]",Personal injury attorney,"PX3R+GQ New York, USA","https://www.google.com/maps/place/The+Law+Offices+of+Michael+S.+Lamonsoff,+PLLC/data=!4m7!3m6!1s0x89c25a17cf5696eb:0x27c28a1d9b84b09c!8m2!3d40.7037845!4d-74.0080471!16s%2Fg%2F1wn_7073!19sChIJ65ZWzxdawokRnLCEmx2Kwic?authuser=0&hl=en&rclk=1","32 Old Slip, New York, NY 10005, United States",0x89c25a17cf5696eb:0x27c28a1d9b84b09c,Law firms
Pardalis and Nohavicka Lawyers,4.8,128,950 3rd Ave 11th floor,New York,NY,10022,US,https://pnlawyers.com/,+1 212-213-8511,,[],"[""Lawyer""]",Lawyer,"Q26J+3Q New York, USA",https://www.google.com/maps/place/Pardalis+and+Nohavicka+Lawyers/data=!4m7!3m6!1s0x89c258e32e3f2751:0xb463a10a805fe02d!8m2!3d40.7602219!4d-73.9680614!16s%2Fg%2F11c0v8fylh!19sChIJUSc_LuNYwokRLeBfgAqhY7Q?authuser=0&hl=en&rclk=1,"950 3rd Ave 11th floor, New York, NY 10022, United States",0x89c258e32e3f2751:0xb463a10a805fe02d,Law firms
"Raphaelson & Levine Law Firm, P.C.",4.8,714,14 Pennsylvania Plaza Suite 1718,New York,NY,10122,US,https://www.raphaelsonlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_midtown_manhattan,+1 646-960-3476,,[],"[""Personal injury attorney""]",Personal injury attorney,"Q225+P7 New York, USA","https://www.google.com/maps/place/Raphaelson+%26+Levine+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c259add357548f:0xeaf6e4ad2a5f8043!8m2!3d40.7517816!4d-73.9918095!16s%2Fg%2F1vtqx04l!19sChIJj1RX061ZwokRQ4BfKq3k9uo?authuser=0&hl=en&rclk=1","14 Pennsylvania Plaza Suite 1718, New York, NY 10122, United States",0x89c259add357548f:0xeaf6e4ad2a5f8043,Law firms
"ILGANAYEV LAW FIRM, PLLC",5.0,124,139 Fulton St Suite 801,New York,NY,10038,US,http://www.ilganayevlaw.com/,+1 646-396-8050,ilganayevlaw@gmail.com,"[""ilganayevlaw@gmail.com""]","[""Law firm""]",Law firm,"PX6R+5V New York, USA","https://www.google.com/maps/place/ILGANAYEV+LAW+FIRM,+PLLC/data=!4m7!3m6!1s0x89c25a186b2f5b85:0x59ea9bd9de257987!8m2!3d40.7104617!4d-74.0077673!16s%2Fg%2F11c6ppq56v!19sChIJhVsvaxhawokRh3kl3tmb6lk?authuser=0&hl=en&rclk=1","139 Fulton St Suite 801, New York, NY 10038, United States",0x89c25a186b2f5b85:0x59ea9bd9de257987,Law firms
Shapiro Legal Group PLLC,4.9,2958,60 E 42nd St #4600,New York,NY,10165,US,https://www.shapirolegalgroup.com/?utm_source=google&utm_medium=organic&utm_campaign=gbplisting,+1 212-485-9899,name@email.com,"[""name@email.com""]","[""Personal injury attorney""]",Personal injury attorney,"Q22C+RG New York, USA",https://www.google.com/maps/place/Shapiro+Legal+Group+PLLC/data=!4m7!3m6!1s0x89c25901a0f0fc07:0x92079a748998128b!8m2!3d40.7521234!4d-73.9787369!16s%2Fg%2F11cs01jtmx!19sChIJB_zwoAFZwokRixKYiXSaB5I?authuser=0&hl=en&rclk=1,"60 E 42nd St #4600, New York, NY 10165, United States",0x89c25901a0f0fc07:0x92079a748998128b,Law firms
The Law Office of Richard M. Kenny,5.0,357,363 7th Ave 16th Floor,New York,NY,10001,US,https://www.rmkinjurylaw.com/,+1 844-955-4338,,[],"[""Personal injury attorney""]",Personal injury attorney,"P2X5+95 New York, USA",https://www.google.com/maps/place/The+Law+Office+of+Richard+M.+Kenny/data=!4m7!3m6!1s0x89c259af2c39895d:0x66a37069fbab00ed!8m2!3d40.7484743!4d-73.9920519!16s%2Fg%2F1td1wc4v!19sChIJXYk5LK9ZwokR7QCr-2lwo2Y?authuser=0&hl=en&rclk=1,"363 7th Ave 16th Floor, New York, NY 10001, United States",0x89c259af2c39895d:0x66a37069fbab00ed,Law firms
Shulman & Hill - Manhattan Personal Injury Lawyer,4.9,469,1 State St 15th Floor,New York,NY,10004,US,https://shulman-hill.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-new-york,+1 917-905-2053,,[],"[""Personal injury attorney""]",Personal injury attorney,"PX3P+4J New York, USA",https://www.google.com/maps/place/Shulman+%26+Hill+-+Manhattan+Personal+Injury+Lawyer/data=!4m7!3m6!1s0x89c25b0881d11e29:0xf8bf776ebaf81e9c!8m2!3d40.7028009!4d-74.013395!16s%2Fg%2F11mvq0_035!19sChIJKR7RgQhbwokRnB74um53v_g?authuser=0&hl=en&rclk=1,"1 State St 15th Floor, New York, NY 10004, United States",0x89c25b0881d11e29:0xf8bf776ebaf81e9c,Law firms
Cohan Law Firm - New York City Injury & Accident Lawyer,5.0,575,401 Park Avenue South 10th Floor,New York,NY,10016,US,https://www.cohanlegal.com/,+1 212-601-2693,,[],"[""Personal injury attorney""]",Personal injury attorney,"P2V8+5C New York, USA",https://www.google.com/maps/place/Cohan+Law+Firm+-+New+York+City+Injury+%26+Accident+Lawyer/data=!4m7!3m6!1s0x89c259a79d0d4a0b:0x1b24939d19a6c90e!8m2!3d40.7429491!4d-73.983881!16s%2Fg%2F11cmg8yv0d!19sChIJC0oNnadZwokRDsmmGZ2TJBs?authuser=0&hl=en&rclk=1,"401 Park Avenue South 10th Floor, New York, NY 10016, United States",0x89c259a79d0d4a0b:0x1b24939d19a6c90e,Law firms
