title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,email,emails,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
KF Lawyers Australia,4.9,40,1/299 Elizabeth St,1/299 Elizabeth St,Sydney NSW 2000,,AU,http://www.kflawyers.com.au/,+61 434 255 922,katrina@kflawyers.com.au,"[""katrina@kflawyers.com.au""]","[""Law firm""]",Law firm,"46F5+9J Sydney, New South Wales, Australia",https://www.google.com/maps/place/KF+Lawyers+Australia/data=!4m7!3m6!1s0x6b12af60d6e680bb:0xfc67f98ced28a0!8m2!3d-33.876586!4d151.2091185!16s%2Fg%2F11jplpksrj!19sChIJu4Dm1mCvEmsRoCjtjPln_AA?authuser=0&hl=en&rclk=1,"1/299 Elizabeth St, Sydney NSW 2000, Australia",0x6b12af60d6e680bb:0xfc67f98ced28a0,law firns
Melbourne Law Offices,5.0,98,Suite 408,Level 4/517 Flinders Ln,Melbourne VIC 3000,,AU,http://melbournelawoffices.com.au/,+61 1300 005 786,admin@melbournelawoffices.com.au,"[""admin@melbournelawoffices.com.au""]","[""General practice attorney""]",General practice attorney,"5XJ4+3M Melbourne, Victoria, Australia",https://www.google.com/maps/place/Melbourne+Law+Offices/data=!4m7!3m6!1s0x6ad65d5208fb6ecb:0xc7cd09255d9a4d0!8m2!3d-37.8198425!4d144.9566328!16s%2Fg%2F11fxw9tgt0!19sChIJy277CFJd1moR0KTZVZLQfAw?authuser=0&hl=en&rclk=1,"Suite 408, Level 4/517 Flinders Ln, Melbourne VIC 3000, Australia",0x6ad65d5208fb6ecb:0xc7cd09255d9a4d0,law firns
Goldman Lawyers,4.8,134,Saint James Centre,Level 13/111 Elizabeth St,Sydney NSW 2000,,AU,https://www.goldman-lawyers.com/,+61 1300 050 105,legal@goldman-lawyers.com,"[""legal@goldman-lawyers.com""]","[""Law firm""]",Law firm,"46J6+42 Sydney, New South Wales, Australia",https://www.google.com/maps/place/Goldman+Lawyers/data=!4m7!3m6!1s0x6b12ae3ffdc6aaab:0xc2680f0502b1ecf8!8m2!3d-33.8696786!4d151.210083!16s%2Fg%2F11g_z25znq!19sChIJq6rG_T-uEmsR-OyxAgUPaMI?authuser=0&hl=en&rclk=1,"Saint James Centre, Level 13/111 Elizabeth St, Sydney NSW 2000, Australia",0x6b12ae3ffdc6aaab:0xc2680f0502b1ecf8,law firns
Criminal Defence Lawyers Australia,5.0,698,Suite 279,Level 3/398 Pitt St,Sydney NSW 2000,,AU,https://www.criminaldefencelawyers.com.au/,+61 2 8606 2218,info@criminaldefencelawyers.com.au,"[""info@criminaldefencelawyers.com.au""]","[""Criminal justice attorney""]",Criminal justice attorney,"46C5+H3 Sydney, New South Wales, Australia",https://www.google.com/maps/place/Criminal+Defence+Lawyers+Australia/data=!4m7!3m6!1s0x6b12ae3d3df16ba1:0x249d8ced901c62de!8m2!3d-33.8785979!4d151.207698!16s%2Fg%2F11gblf6_lk!19sChIJoWvxPT2uEmsR3mIckO2MnSQ?authuser=0&hl=en&rclk=1,"Suite 279, Level 3/398 Pitt St, Sydney NSW 2000, Australia",0x6b12ae3d3df16ba1:0x249d8ced901c62de,law firns
IT Lawyers Australia,5.0,85,Suite 16/47 Neridah St,Suite 16/47 Neridah St,Chatswood NSW 2067,,AU,https://itlawyers.legal/,+61 2 9412 2799,advice@itlawyers.legal,"[""advice@itlawyers.legal""]","[""Law firm""]",Law firm,"653Q+P5 Chatswood, New South Wales, Australia",https://www.google.com/maps/place/IT+Lawyers+Australia/data=!4m7!3m6!1s0x4389385c5ca45b91:0xaa7e3c68ac8a05d7!8m2!3d-33.7957326!4d151.1879039!16s%2Fg%2F11jsl_rkpc!19sChIJkVukXFw4iUMR1wWKrGg8fqo?authuser=0&hl=en&rclk=1,"Suite 16/47 Neridah St, Chatswood NSW 2067, Australia",0x4389385c5ca45b91:0xaa7e3c68ac8a05d7,law firns
Australian Presence Legal,4.9,45,Suite 603,Level 6/50 York St,Sydney NSW 2000,,AU,https://australianpresencelegal.com/,+61 2 8039 9688,info@australianpresencelegal.com,"[""info@australianpresencelegal.com""]","[""Law firm""]",Law firm,"46J4+5H Sydney, New South Wales, Australia","https://www.google.com/maps/place/Australian+Presence+Legal/@-33.8695579,151.2064333,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12ae4270cb310b:0x13b2bf9fdd99c9ab!8m2!3d-33.8695579!4d151.2064333!16s%2Fg%2F11dxr_jbpy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","Suite 603, Level 6/50 York St, Sydney NSW 2000, Australia",0x6b12ae4270cb310b:0x13b2bf9fdd99c9ab,law firns
Blue Ocean Law Group℠ | #NewLaw Firms Sydney,5.0,35,c/- Work Club Barangaroo,G/201 Kent St,Sydney NSW 2000,,AU,https://www.blueocean.law/,+61 1800 023 278,ahoy@blueocean.law,"[""ahoy@blueocean.law""]","[""Law firm""]",Law firm,"46P3+CF Sydney, New South Wales, Australia",https://www.google.com/maps/place/Blue+Ocean+Law+Group%E2%84%A0+%7C+%23NewLaw+Firms+Sydney/data=!4m7!3m6!1s0x6b12af52b324d7f1:0x737024bd32b32458!8m2!3d-33.86392!4d151.203626!16s%2Fg%2F11g0h8bfy2!19sChIJ8dcks1KvEmsRWCSzMr0kcHM?authuser=0&hl=en&rclk=1,"c/- Work Club Barangaroo, G/201 Kent St, Sydney NSW 2000, Australia",0x6b12af52b324d7f1:0x737024bd32b32458,law firns
Australian Lawyers and Advocates,4.9,87,299 Elizabeth St,299 Elizabeth St,Sydney NSW 2000,,AU,https://australianlawyersandadvocates.com.au/,+61 2 9159 9833,info@lawyersandadvocates.com.au,"[""info@lawyersandadvocates.com.au"", ""dshestowsky@lawyersandadvocates.com.au"", ""jleitner@lawyersandadvocates.com.au""]","[""Law firm""]",Law firm,"46F5+9J Sydney, New South Wales, Australia",https://www.google.com/maps/place/Australian+Lawyers+and+Advocates/data=!4m7!3m6!1s0x6b12af1f68879cf9:0x625b4d4c7ac7d019!8m2!3d-33.876586!4d151.2091185!16s%2Fg%2F11qnjr20ry!19sChIJ-ZyHaB-vEmsRGdDHekxNW2I?authuser=0&hl=en&rclk=1,"299 Elizabeth St, Sydney NSW 2000, Australia",0x6b12af1f68879cf9:0x625b4d4c7ac7d019,law firns
Dundas Lawyers Pty Ltd,4.6,61,Icon Place,Level 13/270 Adelaide St,Brisbane City QLD 4001,,AU,https://www.dundaslawyers.com.au/,+61 7 3221 0013,,[],"[""Law firm""]",Law firm,"G2MH+M7 Brisbane City, Queensland, Australia",https://www.google.com/maps/place/Dundas+Lawyers+Pty+Ltd/data=!4m7!3m6!1s0x6b915a1d7c6c5bc5:0x125ae57c0c9c9c9a!8m2!3d-27.4657826!4d153.0281734!16s%2Fg%2F1tk9qymq!19sChIJxVtsfB1akWsRmpycDHzlWhI?authuser=0&hl=en&rclk=1,"Icon Place, Level 13/270 Adelaide St, Brisbane City QLD 4001, Australia",0x6b915a1d7c6c5bc5:0x125ae57c0c9c9c9a,law firns
Powerhouse Law Australia,4.9,178,Suite 8,Level 4/20 Macquarie St,Parramatta NSW 2150,,AU,https://powerhouselaw.sydney/,+61 1800 100 529,,[],"[""Criminal justice attorney""]",Criminal justice attorney,"52P2+5R Parramatta, New South Wales, Australia",https://www.google.com/maps/place/Powerhouse+Law+Australia/data=!4m7!3m6!1s0x6b12a3193c13973d:0xd250df7c89f2c471!8m2!3d-33.81461!4d151.002093!16s%2Fg%2F1yg6npyjk!19sChIJPZcTPBmjEmsRccTyiXzfUNI?authuser=0&hl=en&rclk=1,"Suite 8, Level 4/20 Macquarie St, Parramatta NSW 2150, Australia",0x6b12a3193c13973d:0xd250df7c89f2c471,law firns
