title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,email,emails,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
Professional Lawyer – Dr. Hassan Elhais,4.9,315,Latifa Tower - 37th Floor 3701 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,,Latifa Tower - 37th Floor 3701 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,,AE,https://professionallawyer.me/,+971 4 378 2013,,[],"[""Lawyer""]",Lawyer,67CJ+QF Dubai - United Arab Emirates,https://www.google.com/maps/place/Professional+Lawyer+%E2%80%93+Dr.+Hassan+Elhais/data=!4m7!3m6!1s0x3e5f42e8ae4c8487:0x36601f16316785e8!8m2!3d25.2219682!4d55.2812052!16s%2Fg%2F11b6q6_z_d!19sChIJh4RMruhCXz4R6IVnMRYfYDY?authuser=0&hl=en&rclk=1,Latifa Tower - 37th Floor 3701 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,0x3e5f42e8ae4c8487:0x36601f16316785e8,law firms
HPL Yamalova & Plewka FZCO (LYLAW Dubai),4.9,210,and 1806,and 1806,Reef Tower - Unit 1805 - Cluster O - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,,AE,https://lylawyers.com/?utm_source=google&utm_medium=organic&utm_campaign=GBP,+971 52 205 8149,legal@lylawyers.com,"[""legal@lylawyers.com""]","[""Law firm""]",Law firm,34FV+J4 Dubai - United Arab Emirates,https://www.google.com/maps/place/HPL+Yamalova+%26+Plewka+FZCO+%28LYLAW+Dubai%29/data=!4m7!3m6!1s0x3e5f6ca9569310c3:0x224b8a69297503cf!8m2!3d25.0740671!4d55.1428597!16s%2Fg%2F119tfnsnr!19sChIJwxCTVqlsXz4RzwN1KWmKSyI?authuser=0&hl=en&rclk=1,"and 1806, Reef Tower - Unit 1805 - Cluster O - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates",0x3e5f6ca9569310c3:0x224b8a69297503cf,law firms
Al Safar & Partners Advocates & Legal Consultants,4.4,238,Saaha Offices 401A Block D,Oldtown,Downtown Near Palace Hotel - Dubai - United Arab Emirates,,AE,https://www.alsafarpartners.com/,+971 50 154 1471,reception@alsafarpartners.com,"[""reception@alsafarpartners.com""]","[""Law firm""]",Law firm,57VG+3J Dubai - United Arab Emirates,https://www.google.com/maps/place/Al+Safar+%26+Partners+Advocates+%26+Legal+Consultants/data=!4m7!3m6!1s0x3e5f68295af70f45:0x7bf5739a499e10bd!8m2!3d25.1926633!4d55.2765717!16s%2Fg%2F1pp2vbvld!19sChIJRQ_3WiloXz4RvRCeSZpz9Xs?authuser=0&hl=en&rclk=1,"Saaha Offices 401A Block D, Oldtown, Downtown Near Palace Hotel - Dubai - United Arab Emirates",0x3e5f68295af70f45:0x7bf5739a499e10bd,law firms
"Dubai Best Lawyer - Property Lawyer in Dubai, Law Firm UAE, Alhajeya Alnoobi.",4.9,290,Al Hawai Tower - Office No 304,Al Hawai Tower - Office No 304,Sheikh Zayed Road - Financial Centre - Dubai - United Arab Emirates,,AE,https://www.dubaibestlawyer.com/,+971 4 352 2144,,[],"[""Law firm""]",Law firm,676F+QV Dubai - United Arab Emirates,"https://www.google.com/maps/place/Dubai+Best+Lawyer+-+Property+Lawyer+in+Dubai,+Law+Firm+UAE,+Alhajeya+Alnoobi./data=!4m7!3m6!1s0x3e5f42895f6aaaab:0xdfc0d9a54aa1d5e!8m2!3d25.211953!4d55.274694!16s%2Fg%2F11gglrz_sz!19sChIJq6pqX4lCXz4RXh2qVJoN_A0?authuser=0&hl=en&rclk=1","Al Hawai Tower - Office No 304, Sheikh Zayed Road - Financial Centre - Dubai - United Arab Emirates",0x3e5f42895f6aaaab:0xdfc0d9a54aa1d5e,law firms
Law Firms in Dubai | Dubai Lawyers | IKA Lawyer,5.0,60,The Prism - 3503-B 35th Floor - Business Bay - Dubai - United Arab Emirates,,The Prism - 3503-B 35th Floor - Business Bay - Dubai - United Arab Emirates,,AE,https://dubailawyers.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,+971 56 922 9958,,[],"[""Lawyer""]",Lawyer,57Q6+2F Dubai - United Arab Emirates,https://www.google.com/maps/place/Law+Firms+in+Dubai+%7C+Dubai+Lawyers+%7C+IKA+Lawyer/data=!4m7!3m6!1s0x3e5f695e37c10ddb:0x4233fff59f93554c!8m2!3d25.1875191!4d55.2612335!16s%2Fg%2F11lv7hjwz2!19sChIJ2w3BN15pXz4RTFWTn_X_M0I?authuser=0&hl=en&rclk=1,The Prism - 3503-B 35th Floor - Business Bay - Dubai - United Arab Emirates,0x3e5f695e37c10ddb:0x4233fff59f93554c,law firms
Al Reyami Advocates and Muhyealdeen International Legal Consultants | Lawyers in Dubai,4.6,96,Grosvenor Business Tower - Suite 2406 - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,,Grosvenor Business Tower - Suite 2406 - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,,AE,https://alriyamiadvocates.com/,+971 4 575 6033,hello@themenectar.com,"[""hello@themenectar.com""]","[""Law firm""]",Law firm,35XG+GX Dubai - United Arab Emirates,"https://www.google.com/maps/place/Al+Reyami+Advocates+and+Muhyealdeen+International+Legal+Consultants+%7C+Lawyers+in+Dubai/@25.09881,55.1774477,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6b70ea481f9f:0xa473049246e8370c!8m2!3d25.09881!4d55.1774477!16s%2Fg%2F11b6yjhnw6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",Grosvenor Business Tower - Suite 2406 - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,0x3e5f6b70ea481f9f:0xa473049246e8370c,law firms
HHS Lawyers And Legal Consultants - Lawyers in Dubai,4.6,394,IBIS Hotel Building Office Entrance 5th Floor,IBIS Hotel Building Office Entrance 5th Floor,Office No.: 5008 - Al Rigga Rd - Dubai - United Arab Emirates,,AE,https://hhslawyers.com/?utm_source=google&utm_medium=GMB&utm_campaign=Dubai,+971 52 178 2364,sales@hhslawyers.com,"[""sales@hhslawyers.com""]","[""Law firm""]",Law firm,788C+5M Dubai - United Arab Emirates,"https://www.google.com/maps/place/HHS+Lawyers+And+Legal+Consultants+-+Lawyers+in+Dubai/@25.265408,55.321707,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f5cceb763c9eb:0x2374c76fc3a0b66b!8m2!3d25.265408!4d55.321707!16s%2Fg%2F11c718wx5x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","IBIS Hotel Building Office Entrance 5th Floor, Office No.: 5008 - Al Rigga Rd - Dubai - United Arab Emirates",0x3e5f5cceb763c9eb:0x2374c76fc3a0b66b,law firms
Dubai Lawyers - Best Criminal Lawyers in Dubai - DWCM,4.9,254,office 90C16 - Bldg,office 90C16 - Bldg,I-Rise - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates,,AE,https://www.dubailawyer.ae/,+971 50 463 7483,,[],"[""Lawyer""]",Lawyer,35WJ+J8 Dubai - United Arab Emirates,"https://www.google.com/maps/place/Dubai+Lawyers+-+Best+Criminal+Lawyers+in+Dubai+-+DWCM/@25.0966028,55.1807839,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f6b0ce145d3d5:0x75332dbdc6845e43!8m2!3d25.0966028!4d55.1807839!16s%2Fg%2F11hq_92ghr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","office 90C16 - Bldg, I-Rise - Al Thanyah First - Barsha Heights - Dubai - United Arab Emirates",0x3e5f6b0ce145d3d5:0x75332dbdc6845e43,law firms
Khairallah Advocates & Legal Consultants | Lawyers in Dubai,4.4,92,Office # 3504,Office # 3504,Level 35 - Churchill Tower - Business Bay - Dubai - United Arab Emirates,,AE,https://khlegal.ae/,+971 4 427 0845,,[],"[""Law firm""]",Law firm,57J7+93 Dubai - United Arab Emirates,"https://www.google.com/maps/place/Khairallah+Advocates+%26+Legal+Consultants+%7C+Lawyers+in+Dubai/@25.1809579,55.2627095,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f69ce3052dca7:0xb498f9a7d07a157b!8m2!3d25.1809579!4d55.2627095!16s%2Fg%2F1s04bxgj1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D","Office # 3504, Level 35 - Churchill Tower - Business Bay - Dubai - United Arab Emirates",0x3e5f69ce3052dca7:0xb498f9a7d07a157b,law firms
Gulf Advocates - Lawyers in Dubai,4.8,112,1 Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,,1 Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,,AE,https://www.gulfadvocates.com/,+971 54 322 5080,,[],"[""Lawyer""]",Lawyer,57XC+9F Dubai - United Arab Emirates,"https://www.google.com/maps/place/Gulf+Advocates+-+Lawyers+in+Dubai/@25.1984672,55.2711976,17z/data=!3m1!4b1!4m6!3m5!1s0x3e5f682a3bffffff:0xa43fd4c4c09132e6!8m2!3d25.1984672!4d55.2711976!16s%2Fg%2F119v0w8wq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",1 Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,0x3e5f682a3bffffff:0xa43fd4c4c09132e6,law firms
